timestamp,name,attribute_name,value
14:48.8,EV Chargers,power,118.479
45:03.1,EV Chargers,power,79.249
45:11.2,EV Chargers,power,118.479
15:27.3,EV Chargers,power,118.479
15:44.4,EV Chargers,power,76.378
45:44.9,EV Chargers,power,82.527
45:46.7,EV Chargers,power,118.479
16:08.1,EV Chargers,power,81.867
16:08.8,EV Chargers,power,118.479
46:30.7,EV Chargers,power,118.479
46:48.4,EV Chargers,power,96.386
16:48.8,EV Chargers,power,99.918
16:51.8,EV Chargers,power,118.479
47:05.9,EV Chargers,power,94.074
47:12.5,EV Chargers,power,118.479
17:13.2,EV Chargers,power,118.479
17:29.3,EV Chargers,power,94.48
47:34.0,EV Chargers,power,118.479
47:55.5,EV Chargers,power,90.411
17:34.9,EV Chargers,power,118.479
17:57.1,EV Chargers,power,92.147
47:57.6,EV Chargers,power,93.07
48:02.3,EV Chargers,power,118.479
18:18.9,EV Chargers,power,118.479
18:21.8,EV Chargers,power,96.037
48:37.6,EV Chargers,power,92.325
48:39.7,EV Chargers,power,118.479
18:57.6,EV Chargers,power,105.709
18:58.2,EV Chargers,power,118.479
49:16.9,EV Chargers,power,118.479
49:18.1,EV Chargers,power,120.578
19:37.4,EV Chargers,power,129.696
19:42.7,EV Chargers,power,118.479
49:57.7,EV Chargers,power,147.693
50:00.2,EV Chargers,power,118.479
20:16.5,EV Chargers,power,151.299
20:26.7,EV Chargers,power,118.479
50:36.6,EV Chargers,power,150.618
50:52.2,EV Chargers,power,118.479
20:56.3,EV Chargers,power,152.118
21:15.7,EV Chargers,power,118.479
51:15.4,EV Chargers,power,147.802
51:16.0,EV Chargers,power,118.479
21:31.8,EV Chargers,power,134.256
21:37.2,EV Chargers,power,118.479
51:48.7,EV Chargers,power,129.525
51:56.6,EV Chargers,power,118.479
22:06.8,EV Chargers,power,134.951
22:26.1,EV Chargers,power,118.479
52:23.4,EV Chargers,power,130.334
52:26.5,EV Chargers,power,118.479
22:45.5,EV Chargers,power,124.603
23:03.3,EV Chargers,power,118.479
53:03.9,EV Chargers,power,118.479
23:23.0,EV Chargers,power,115.567
53:38.8,EV Chargers,power,103.458
24:01.5,EV Chargers,power,96.15
54:23.0,EV Chargers,power,89.017
25:01.4,EV Chargers,power,78.621
55:02.5,EV Chargers,power,70.268
25:18.8,EV Chargers,power,59.635
55:19.9,EV Chargers,power,50.052
25:37.6,EV Chargers,power,45.651
56:02.5,EV Chargers,power,41.979
26:23.3,EV Chargers,power,34.937
57:01.6,EV Chargers,power,28.446
27:28.1,EV Chargers,power,23.83
57:28.6,EV Chargers,power,20.651
27:45.1,EV Chargers,power,18.424
58:09.5,EV Chargers,power,13.952
28:29.9,EV Chargers,power,16.309
58:48.9,EV Chargers,power,27.565
29:06.9,EV Chargers,power,117.101
29:08.2,EV Chargers,power,36.19
59:25.6,EV Chargers,power,47.655
59:29.8,EV Chargers,power,117.101
29:46.9,EV Chargers,power,117.101
29:48.5,EV Chargers,power,56.934
00:05.7,EV Chargers,power,117.101
00:16.0,EV Chargers,power,73.701
30:33.2,EV Chargers,power,117.101
30:37.3,EV Chargers,power,88.282
00:49.0,EV Chargers,power,117.101
01:02.6,EV Chargers,power,95.175
31:03.1,EV Chargers,power,106.712
31:05.4,EV Chargers,power,117.101
01:18.1,EV Chargers,power,112.072
01:31.4,EV Chargers,power,117.101
31:40.4,EV Chargers,power,114.743
31:48.7,EV Chargers,power,117.101
02:01.2,EV Chargers,power,115.464
02:04.4,EV Chargers,power,117.101
32:20.8,EV Chargers,power,115.893
32:20.8,EV Chargers,power,117.101
02:36.3,EV Chargers,power,117.101
02:38.3,EV Chargers,power,115.34
32:37.8,EV Chargers,power,117.101
32:38.9,EV Chargers,power,113.278
02:56.4,EV Chargers,power,120.005
03:04.9,EV Chargers,power,117.101
33:20.8,EV Chargers,power,117.101
33:25.5,EV Chargers,power,121.342
03:40.4,EV Chargers,power,117.101
03:46.1,EV Chargers,power,123.15
33:41.5,EV Chargers,power,117.101
33:46.7,EV Chargers,power,132.941
04:01.7,EV Chargers,power,117.101
04:16.0,EV Chargers,power,139.951
