timestamp,name,attribute_name,value
2021-10-24 18:52:30.772,EV Chargers,power,165.124
2021-10-24 19:22:33.402,EV Chargers,power,166.252
2021-10-24 19:52:34.27,EV Chargers,power,157.83
2021-10-24 20:22:53.716,EV Chargers,power,153.198
2021-10-24 20:53:21.368,EV Chargers,power,141.256
2021-10-24 21:23:49.512,EV Chargers,power,127.201
2021-10-24 22:24:15.935,EV Chargers,power,86.029
2021-10-24 22:54:35.645,EV Chargers,power,66.538
2021-10-24 23:24:55.819,EV Chargers,power,53.618
2021-10-24 23:55:16.297,EV Chargers,power,48.005
2021-10-25 00:25:46.331,EV Chargers,power,40.692
2021-10-25 00:56:15.424,EV Chargers,power,33.021
2021-10-25 01:26:15.894,EV Chargers,power,24.722
2021-10-25 01:56:43.389,EV Chargers,power,21.663
2021-10-25 02:26:59.352,EV Chargers,power,16.25
2021-10-25 02:57:18.859,EV Chargers,power,11.745
2021-10-25 03:27:43.866,EV Chargers,power,8.475
2021-10-25 03:58:08.709,EV Chargers,power,7.7
2021-10-25 04:28:26.51,EV Chargers,power,6.251
2021-10-25 04:58:46.718,EV Chargers,power,7.435
2021-10-25 05:29:08.281,EV Chargers,power,7.788
2021-10-25 05:59:33.626,EV Chargers,power,12.225
2021-10-25 06:29:54.438,EV Chargers,power,23.103
2021-10-25 07:00:16.589,EV Chargers,power,51.552
2021-10-25 07:30:31.483,EV Chargers,power,61.433
2021-10-25 08:00:51.653,EV Chargers,power,65.051
2021-10-25 08:31:24.009,EV Chargers,power,63.968
2021-10-25 09:32:35.423,EV Chargers,power,58.35
2021-10-25 10:02:35.961,EV Chargers,power,57.795
2021-10-25 10:32:59.331,EV Chargers,power,65.877
2021-10-25 11:03:00.199,EV Chargers,power,72.803
2021-10-25 11:33:29.672,EV Chargers,power,69.622
2021-10-25 12:03:52.277,EV Chargers,power,62.347
2021-10-25 12:34:13.39,EV Chargers,power,59.033
2021-10-25 13:04:29.938,EV Chargers,power,62.312
